pub,usr,likes,com,fec,hor,sent,tag
20200805,Dayana Tinajero,18,"no inventen, acabo de llamar al call center y me contesto una chica que esta en su casa y puede ver todas mis cuentas, eso no me da confianza ademas el dia de hoy llevo 18 llamadas de cobranza, para eso si tienen personal",2020-08-06,11:37:00,n,seguridad
20200805,Salma Madrid,5,"pesimo servicio de call center, contestan con voz de flojera y de mala gana. aparte te cuelgan cuando tienes dudas. ",2020-08-06,12:56:00,n,atencion_call
20200805,Dayana Tinajero,3,"mejor voy a sucursal, ya no me da confianza nada, las personas q contestan estan en sus casas y tienen informacion q no debe salr del banco",2020-08-06,13:20:00,n,seguridad
20200805,Lissy Jimenez,0,citibanamex podrían decirme dónde puedo llamar o como saber cuando termina mi prorroga para pagar de 4 meses no quiero q se me pase la fecha,2020-08-06,16:04:00,o,consulta
20200805,Lissy Jimenez,0,citibanamex gracias si me gustaría saber cuando vence para programarme pero por ningún lado me dice sera q tenga q ir a la sucursal?????,2020-08-06,16:23:00,o,consulta
20200805,Pagi Granados,1,tenho um problemas está bloqueada no tarjeta y estou em el esttanjero,2020-08-06,16:52:00,o,consulta
20200805,Paty Guerrero,8,"dayana tinajero que ridícula eres, sabias que existe el covid y mucha gente hace home office?",2020-08-07,16:54:00,o,replica
20200805,Paty Guerrero,5,no te vayan a sacar tus 2 pesos de la quincena,2020-08-07,16:54:00,o,replica
20200805,Veronica Ramirez,0,"citibanamex me urge un estado de cuenta fui a la sucursal y me dijeron que no tienen ese servicio, entre a bancanet pero tampoco pude porque el número telefónico y correo dados de alta ya no los tengo, ayudenme por favor!!",2020-08-07,20:08:00,o,consulta
20200805,Veronica Ramirez,0,citibanamex de donde obtengo mi netkey?,2020-08-07,20:25:00,o,consulta
20200805,Veronica Ramirez,0,citibanamex muchas gracias,2020-08-07,20:31:00,p,agradecimiento
20200805,Dayana Tinajero,0,"no seas tontita patricia, la información de un cliente debe de permanecer en el banco, ponte a pensar tantito q tengan tus datos en sus casas, con sus celulares imagina lo que puedan hacer, ya sea por 2 pesos o tus millones que tienes",2020-08-08,02:02:00,o,replica
20200805,Pagi Granados,0,citibanamex y yo,2020-08-08,05:53:00,o,replica
20200805,Pagi Granados,0,como le ago para desbloquear estou em e estranjero,2020-08-08,05:54:00,o,consulta
20200805,Javier Mora,0,dayana tinajero qué pueden hacer en sus casas con sus celulares?,2020-08-08,07:59:00,o,replica
20200805,Ruy Alonso Urdiana Maldonado,0,a que número cancelo la tarjeta?,2020-08-08,16:54:00,o,consulta
20200805,Dayana Tinajero,0,javier mora imaginate,2020-08-08,21:31:00,o,replica
20200805,Tiaret Medina,0,llevo 3 días llamando para recibir atención de un ejecutivo y noe contesta ningún ejecutivo. se cuelga en automático la llamada después de ingresar mis datos al igual que en su portal. me puedes brindar un numero en el que si contesten me urge hacer una aclaración!,2020-08-10,20:40:00,n,atencion_call
20200805,Ninfa Contreras,0,"citibanamex quien puede resolverme mi problema. quiero usar un saldo a favor de mi tarjeta para pagar un préstamo por tarjeta de crédito. no me resuelven en sucursal, donde me dijeron que se realizaba telefónicamente y ahí cuando logro finalmente me contesten me dicen que no es con ellos. ",2020-08-11,10:51:00,n,bloqueo_cuenta
20200805,Arcelia Ambriz Acosta,0,"citibanamex y yo me sigo preguntando: por donde andara mi tarjeta de credito?????? por ningun lado me dan contestacion. ni en sucursal, ni por telefono, ni por internet. pues, por donde andara la desgraciada??????????",2020-08-11,12:05:00,n,entrega_tc
20200805,Pablo Cruz Lizárraga,0,"arcelia ambriz acosta somos dos, quedaron de entregarme mi tarjeta en mi domicilio, y ni fueron y ya la devolvieron, y es hora que no puedo programar otra entrega y por teléfono no atienden eso por contingencia es absurdo, por la contingencia nos quieren tener a todos en una misma sucursal durante horas no se quien fue el estúpido que se le ocurrió cerrar sucursales para evitar contagios, siendo que nos tenemos que congregar en menos sucursales el mismo numero de clientes desde antes de la pandemia!!!",2020-08-11,13:59:00,n,entrega_tc
20200805,Pablo Cruz Lizárraga,0,"citibanamex como rayos hago para que me entreguen por fin mi tarjeta, me la cancelaron por cargo no reconocido la pedí a domicilio y nunca la llevaron, en linea no se puede ni en bancanet ni en donde esta mi tarjeta, y por teléfono menos deberían tener gente mejor preparada para atender por teléfono, podria decirme que documentos necesito para cancelar mi cuenta por favor",2020-08-11,14:01:00,n,entrega_tc
20200805,Arcelia Ambriz Acosta,0,"pablo cruz lizárraga yo estoy asi desde marzo, marzoooooooooo!!!!! y es la hora que estos ineptos no saben nada. voy a sucursal y ya sabes, la persona que me atiende, como buen burocrata no sabe nada. pedi recogerla precisamente en sucursal y nomas no. por telefono imposible que te atiendan, te cortan la llamada, por internet puedo estar todo el dia esperando que me den respuesta y tampoco. ahhh, pero los cobros me llegan mas que punturales. son una bola de inutiles todos!!!",2020-08-11,14:03:00,n,entrega_tc
20200805,Pablo Cruz Lizárraga,0,"arcelia ambriz acosta huy creo que va para largo entonces, y todavía tiene el cinismo de hablarme para ofrecerme promociones de mi tarjeta siendo que no cuento el plástico, banamex cree que la contingencia solo les afecta a ellos, pero ,ofrecen una alternativa para seguir disponiendo de la tarjeta en linea, es decir sigue gastando sin plástico no te preocupes, ya cuando nos de la gana te lo entregamos, increíble!!!",2020-08-11,14:06:00,n,entrega_tc
20200805,Pablo Cruz Lizárraga,0,"citibanamex ya llame más de 20 veces, por la contingencia no atienden reprogramación de entregas, o bien díganme la documentación necesaria para cancelar mi cuenta en su banco",2020-08-11,19:35:00,n,entrega_tc
